Project Name,Project ID,Tags
Easytrip - Guidanceplex,a0af00f6-1bf4-4be8-a31e-f9e62f19fee5,
Mareva - DRP,754e0985-2f6d-49bd-b739-a42ef822e806,
Project Management Hub,c3a84d51-1635-4bdb-9363-a31f7d34deae,
Ultra Labs - Dashboard,7e03cf5d-b6d7-4a90-96b8-4d805e583588,
GML - ETL Botmaker,e7fe0b98-09f4-4458-b67d-64f4396ee53e,
Farmacias YZA - Dashboards,617df641-b5ef-4233-a524-eef2340d589c,
GML- Soporte,46b4da8f-d0c3-48e4-9917-6eb67a30084e,"SoftwareFactory, LuisNocedal"
LEONEM- Migración,cae81d96-99a4-46aa-bd84-dd68c13560b0,
Onboarding - RH -UXUI,d5d43724-e80a-490b-b143-bf389c92c9bf,
Tiendas 3B,205f66fb-8163-4507-8781-a8441b916261,
Proan Chatbot RH,3063031c-a3d0-428b-8b0a-adb60d4225f6,
CRM Innovación,0e360f9c-cd36-4bf9-a9a4-8b457a63e993,
Cooper-Soporte,886a730d-044b-4be7-acdf-b4aaec881064,
Pastelería Marisa- Migración,fcfab600-02c3-4b1c-a691-47dddb2faca7,
Traxion - Chatbot,012f77cc-d4fd-4279-93dc-40c19b815de8,
Nanny - App Web,635b68f8-f2fc-4646-b7cb-2ced431afd18,
Calux - Punto de Venta,a7775c61-a505-4d2d-a138-0ab5ec58b4aa,
IEEM - Proceso digitalizacion Prep 2024,64795a67-13b5-4158-b88c-a755b78b1bb4,
GML - Sitio Web,ee64bafe-6458-4e66-880b-a13f5ea178ac,
AWS Financial Services Competency,3522ca30-efd7-485e-a6e6-7024590e33cd,
115 Grados,097219cb-5421-4ddf-a500-810bcca1dfaf,
INBest Core-MRO Innovación,8f126416-e291-40bd-9d8f-2f9fd69095c9,
Roomie-it Poliza Change Management AWS,2b453923-8259-4dea-9df0-bfd614338396,
Farmacias San Pablo - API Facebook,d05b29fa-d041-4ed3-b5ed-0b44b3e2f3f1,
Repstronics - ERP,94dbd40c-9a8b-45f6-8383-2435c2d2678f,
Sanchez y Martinez - Migración PAXIS,fa6f287d-9b3d-4f2a-b81a-828296d18987,
Cooper-MRO20,05daa17d-49b8-4fa8-986e-bbe77bd61ae1,"Innovation, EfrainGarcia"
HOHO DASHBOARD,bc869ddd-46de-46f3-a62b-304961c8b91e,
Grupo Guias - Multicotizador de Seguros,03d646df-34ff-4804-96b2-1003f94e9e89,"SoftwareFactory, EduardoFelix"
Cooper Renovación Transportes RH,ae27abc8-58f5-497d-bf90-0d55272f7f77,
Fiscalía BC - Open Search,a15cfd6b-9bef-4efa-bf26-0c9f5b53d637,
Tiendas 3B - APIM WAF,ba25849c-92c9-4e27-aede-c2a31f419998,
DevOps Hub,a50f1645-b960-4b04-bd9f-4363fc52995c,
Masterfan - Data_BI,06839244-ef0d-430f-b1aa-155da76c5254,
Data AI Hub,baf81fd0-489a-41b7-9080-4beef9e68f12,
Giant Motors - CRM,fb20be0f-06f1-41a7-9133-ef1915cb3ead,"SoftwareFactory, LuisNocedal"
Porsche - Tableros PowerBI,1781a90d-8034-47dd-8ee2-4e2c0c3118c4,
Migración a Azure DevOps,e3d55112-02a1-4ae8-a638-c17d655d2d0b,
Médica Sur,0cd82db7-d0d7-4186-8452-2b5b55263fbb,
Ocean Medic -Ecosistema Ai,6ff6c5f3-f3d4-4761-84d4-70302efc37be,
Servnet - SAP,44102aaf-4bb3-490c-b032-89ff0d9ee5e6,
Multiva - Workspaces,abf1695c-1473-494e-a0cb-2e78da329094,
iNBest-365,898e80cb-966d-4af9-b351-1f8530723d93,
Gob michoacan - Infraestrcutura y bot GPT,5335e0d7-ee41-4836-8a0b-ef3b7de5e0aa,
Impotrade,b320c3e0-7ed2-4c58-a4e0-53d37a72b1fd,
Yo Contigo - Migración Elastic Search,6e6ad400-12b0-404d-a364-01601dff7f4d,
Unión de Tula,703cb270-3f0d-4a04-a365-132bc1999a2b,
Hermosillo Data Lake - NC,60e44309-bafc-4405-96ee-e1a59e74a3ad,
MSP Hub,62524932-6348-4537-a99e-ecbeccfa7d7f,
Billing GCP,8ae6034d-8d18-494f-a272-ed641a7787ef,
Sacbe Multicurrency - Levantamiento de servidores,850ec27c-0d02-45b5-b35f-e60f1e709940,
WWF - Chatbot,ea50609f-86bd-44de-82e9-533455ff6336,
Guntner-IOT Portal,76a18541-99d6-4de7-ab37-753cff782562,
Ecodeli - OC,573e1d5e-5940-405d-9162-f4f453e49d0f,
Nemak -HR HUB Sharepoint,553318a0-865a-43dd-b7c6-6594269d9e8d,
Lanzacreto- Migración de buzones,d57b4033-9ff8-4ce0-9373-0c8dcaf09ea6,
iNBest-Azure Lighthouse implementation,72e6ddfa-f840-4ae9-99f0-20891d7c0f0d,
Pegaduro,aa05f2b7-6528-46c0-983c-9b2209c2495f,
